iter	Passed	Remaining
399	64148	256593
400	64319	256475
401	64478	256311
402	64639	256150
403	64802	256002
404	64976	255895
405	65130	255710
406	65298	255579
407	65482	255509
408	65657	255405
409	65830	255293
410	65995	255151
411	66163	255019
412	66316	254827
413	66469	254638
414	66621	254445
415	66784	254293
416	66937	254107
417	67090	253916
418	67242	253725
419	67399	253550
420	67553	253367
421	67714	253206
422	67868	253021
423	68028	252859
424	68182	252676
425	68339	252504
426	68499	252341
427	68656	252168
428	68812	251991
429	68966	251806
430	69119	251621
431	69269	251421
432	69427	251253
433	69588	251095
434	69743	250917
435	69902	250750
436	70058	250574
437	70213	250397
438	70385	250276
439	70556	250153
440	70718	250000
441	70869	249807
442	71040	249683
443	71195	249505
444	71346	249311
445	71505	249145
446	71664	248980
447	71815	248789
448	71971	248614
449	72132	248456
450	72293	248298
451	72459	248158
452	72621	248002
453	72782	247844
454	72940	247676
455	73095	247499
456	73253	247329
457	73410	247159
458	73571	247001
459	73728	246828
460	73883	246651
461	74036	246468
462	74191	246291
463	74352	246130
464	74503	245943
465	74656	245756
466	74812	245584
467	74968	245411
468	75127	245246
469	75293	245105
470	75451	244935
471	75607	244764
472	75762	244587
473	75920	244419
474	76072	244231
475	76227	244055
476	76378	243865
477	76531	243684
478	76685	243504
479	76837	243317
480	76996	243155
481	77157	242999
482	77311	242820
483	77469	242651
484	77623	242474
485	77778	242299
486	77931	242115
487	78090	241951
488	78244	241773
489	78402	241607
490	78556	241429
491	78710	241251
492	78872	241097
493	79034	240944
494	79196	240789
495	79357	240631
496	79525	240497
497	79712	240417
498	79886	240298
499	80062	240188
500	80241	240083
501	80418	239972
502	80590	239847
503	80761	239721
504	80926	239574
505	81090	239423
506	81241	239236
507	81398	239067
508	81561	238915
509	81727	238771
510	81881	238592
511	82038	238423
512	82194	238252
513	82351	238083
514	82510	237918
515	82663	237737
516	82831	237599
517	82992	237440
518	83143	237255
519	83298	237080
520	83446	236884
521	83596	236696
522	83754	236530
523	83915	236372
524	84065	236185
525	84220	236010
526	84368	235815
527	84525	235646
528	84678	235466
529	84834	235296
530	84987	235115
531	85142	234942
532	85315	234816
533	85483	234679
534	85646	234527
